Iterations,Training Accuracy,Training Loss,Test Accuracy,Test Loss
0,0.109999999404,253.94152832,0.097000002861,258.258178711
1,0.170000001788,313.259338379,0.158000007272,304.308258057
2,0.070000000298,266.385925293,0.0930999964476,262.281860352
3,0.0900000035763,244.219024658,0.108400002122,241.487304688
4,0.129999995232,229.716400146,0.111400000751,228.619033813
5,0.230000004172,223.97114563,0.210700005293,224.191864014
6,0.159999996424,222.538543701,0.158399999142,223.555175781
7,0.330000013113,216.064529419,0.246700003743,222.113128662
8,0.289999991655,219.025726318,0.273299992085,219.221664429
9,0.259999990463,214.613418579,0.295300006866,213.389404297
10,0.370000004768,205.858963013,0.401199996471,202.184677124
11,0.449999988079,194.215576172,0.488799989223,188.857406616
12,0.519999980927,178.966201782,0.551599979401,172.898834229
13,0.550000011921,160.647216797,0.59350001812,155.171463013
14,0.5,154.804122925,0.633700013161,134.058029175
15,0.660000026226,117.472732544,0.727999985218,106.967803955
16,0.75,80.1739807129,0.735700011253,88.0883789062
17,0.680000007153,75.8969116211,0.69880002737,85.1951065063
18,0.759999990463,74.5773544312,0.756799995899,75.6865768433
19,0.829999983311,59.0575714111,0.778699994087,74.9583740234
20,0.709999978542,103.396781921,0.755100011826,90.2927932739
21,0.819999992847,42.0251426697,0.824000000954,59.1459617615
22,0.759999990463,80.4756469727,0.820599973202,61.22448349
23,0.77999997139,73.0760498047,0.784900009632,68.6053009033
24,0.75,53.0339050293,0.804899990559,60.4181900024
25,0.810000002384,56.7983016968,0.825299978256,53.8833961487
26,0.819999992847,52.7416038513,0.842899978161,49.7001571655
27,0.769999980927,66.3157577515,0.843699991703,49.1241111755
28,0.910000026226,45.9124832153,0.859300017357,46.657333374
29,0.860000014305,48.9305992126,0.853399991989,47.7174606323
30,0.800000011921,57.6421928406,0.854600012302,46.8004837036
31,0.850000023842,54.9313735962,0.870199978352,42.890827179
32,0.829999983311,45.8756256104,0.894500017166,36.4581832886
33,0.930000007153,35.7556419373,0.899800002575,34.4487609863
34,0.829999983311,45.8694763184,0.880500018597,37.8728637695
35,0.870000004768,46.6824188232,0.898299992085,33.1890563965
36,0.930000007153,18.6824054718,0.903500020504,30.6575946808
37,0.910000026226,24.336938858,0.894500017166,32.9767227173
38,0.939999997616,20.913684845,0.907899975777,29.8960170746
39,0.920000016689,19.6432304382,0.918699979782,27.1485538483
40,0.920000016689,24.9669418335,0.919900000095,28.3950271606
41,0.920000016689,25.7616481781,0.91890001297,28.6575622559
42,0.949999988079,16.6024055481,0.926900029182,25.0012607574
43,0.949999988079,19.1339454651,0.921700000763,26.1855602264
44,0.839999973774,41.025642395,0.921000003815,26.3037567139
45,0.879999995232,23.4040088654,0.92769998312,24.2596530914
46,0.910000026226,29.786447525,0.936800003052,21.4414558411
47,0.980000019073,11.4092273712,0.933899998665,22.0800571442
48,0.889999985695,36.4455490112,0.917699992657,27.4267024994
49,0.930000007153,31.9888687134,0.929400026798,23.5228691101
50,0.910000026226,21.596321106,0.935899972916,20.7823638916
51,0.930000007153,19.6879310608,0.933099985123,21.6610565186
52,0.920000016689,19.4000988007,0.932799994946,21.4258499146
53,0.949999988079,24.9361343384,0.935599982738,20.4730205536
54,0.949999988079,25.1218280792,0.936399996281,20.5814208984
55,0.959999978542,12.4942493439,0.93599998951,21.2326049805
56,0.939999997616,17.9622459412,0.937200009823,21.4550437927
57,0.949999988079,20.4723052979,0.939800024033,20.0077724457
58,0.959999978542,14.4184427261,0.944800019264,18.1613559723
59,0.980000019073,8.93664836884,0.949000000954,16.7425785065
60,0.959999978542,14.3072872162,0.950900018215,16.3808021545
61,0.980000019073,10.5808076859,0.951799988747,16.0687713623
62,0.959999978542,15.8368434906,0.950299978256,16.0845832825
63,0.949999988079,26.1564846039,0.951099991798,15.5947875977
64,0.97000002861,10.7121639252,0.953100025654,15.5811653137
65,0.949999988079,12.6780881882,0.950800001621,16.1587276459
66,0.879999995232,28.0786838531,0.950999975204,16.1391372681
67,0.949999988079,10.8603610992,0.952099978924,15.4003677368
68,0.910000026226,21.5508327484,0.954999983311,14.8243560791
69,0.959999978542,11.2698669434,0.955299973488,14.8835029602
70,0.97000002861,11.8662796021,0.954299986362,15.2505292892
71,0.959999978542,19.3929138184,0.953299999237,15.3535518646
72,0.930000007153,12.3637657166,0.956799983978,14.3989858627
73,0.930000007153,22.4388046265,0.958899974823,13.5504436493
74,0.930000007153,25.9343528748,0.96280002594,12.9496650696
75,0.959999978542,8.70077514648,0.961099982262,12.7182722092
76,0.959999978542,11.8581600189,0.959900021553,12.9465427399
77,0.980000019073,6.50083637238,0.958000004292,13.5738925934
78,0.97000002861,15.4250202179,0.955900013447,13.9939470291
79,0.949999988079,10.0761947632,0.955399990082,13.9775362015
80,0.930000007153,21.9807453156,0.957000017166,13.4629545212
81,0.939999997616,21.0230407715,0.955200016499,13.781206131
